ma_san_pham,ten_san_pham,gia_vnd,url
43819428067,THANH CHẮN CẦU THANG，KHÔNG CẦN KHOAN，KHÔNG HẠI TƯỜNG,154400,https://shopee.vn/Thanh-chan-cau-thang-Khong-Can-Khoan-Khong-Hai-Tuong-i.1588036511.43819428067
57257613564,Bộ Cộc Tay Cho Bé Trai Bé Gái Áo Cotton Quần Đũi Siêu Mát,99800,https://shopee.vn/Bo-Coc-Tay-Cho-Be-Trai-Be-Gai-Ao-Cotton-Quan-Dui-Sieu-Mat-i.335940638.57257613564
29260846318,Áo Sơ Mi Dài Tay Nữ Kẻ Sọc Form Rộng Kèm Cà Vạt Đen,35000,https://shopee.vn/Ao-So-Mi-Dai-Tay-Nu-Ke-Soc-Form-Rong-Kem-Ca-Vat-Den-i.1147107957.29260846318
17889942061,5 BÚT 50 NGÒI BÚT GEL BẤM BASIC BÚT GEL MỰC ĐEN XANH ĐỎ,9900,https://shopee.vn/5-but-50-ngoi-But-Gel-Bam-Basic-But-Gel-muc-den-xanh-do-i.827650386.17889942061
15390447857,5 CÁI BỘ MỰC ĐEN BÚT GEL BÚT BI 0.5MM BÚT CÓ THỂ GẬP LẠI,6000,https://shopee.vn/5-Cai-bo-Muc-Den-But-Gel-But-Bi-0.5mm-i.827650386.15390447857
28686417487,GIÁ ĐỠ ĐIỆN THOẠI TÚI KHÍ HÌNH MÈO KITTY DỄ THƯƠNG,19500,https://shopee.vn/Gia-do-dien-thoai-tui-khi-hinh-meo-Kitty-i.1536745809.28686417487
28205642969,Bộ Đồ Trung Niên Đũi Cho Mẹ Và Bà Chất Đũi Lạnh Cao Cấp,127000,https://shopee.vn/Bo-Do-Trung-Nien-Dui-Cho-Me-Va-Ba-i.952117792.28205642969
27588851347,12 Cuộn (4 bịch) Túi Đựng Rác Đen Kích Thước Lớn 65x55cm,23000,https://shopee.vn/12-Cuon-4-bich-Tui-Dung-Rac-Den-i.1423867958.27588851347
40167439923,Đồ Chơi Nhà Trẻ Em Bộ Đồ Chơi Nhà Biệt Thự Lâu Đài Công Chúa,145000,https://shopee.vn/Do-Choi-Nha-Tre-Em-i.1057158747.40167439923
53404707405,OVW CỌ TRANG ĐIỂM CHO MÁ PHẤN MẮT VÀ KẺ MẮT,113400,https://shopee.vn/OVW-Co-trang-diem-cho-ma-i.345401525.53404707405
